Recital	Forces Unformatted	Attribute (Dropdown)	Parent Heading (Dropdown)	Formatted Force (Autogenerated)	Patterns with Hyperlinks (HTML)	General Category	Art Title	Art. Link (Autogen)	Art.
75	Risks to user rights may include damage to reputation, discrimination, fraud, financial loss, deprivation of rights or control over their personal data, leaked sensitive information, or any other significant economic or social disadvantage.	Impact Assessment	Processing which might pose a high risk to the rights of users	Risks to user rights may include damage to reputation, discrimination, fraud, financial loss, deprivation of rights or control over their personal data, leaked sensitive information, or any other significant economic or social disadvantage.  Responsibility of the controller; Recital 75 	This may include <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. It also includes <a class="pattern" href="https://privacypatterns.org/patterns/Reasonable-Level-of-Control">Reasonable Level of Control</a> and other means to Support Selective Disclosure.	Special Obligations	Responsibility of the controller	https://gdpr-info.eu/art-24-gdpr	24
89	Controllers should report to supervisory authorities of intended processing operations which are likely to result in high risks to the rights of natural persons. Where designated, the controller should seek advice of the data protection officer, or even users where appropriate. They should also comply with any related approved codes of conduct.	Impact Assessment, Codes of Conduct, Data Protection Officer	Processing which might pose a high risk to the rights of users	Controllers should report to supervisory authorities of intended processing operations which are likely to result in high risks to the rights of natural persons. Where designated, the controller should seek advice of the data protection officer, or even users where appropriate. They should also comply with any related approved codes of conduct.  Data protection impact assessment; Recital 89 	This may include <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Data protection impact assessment	https://gdpr-info.eu/art-35-gdpr	35
94	Where a controller cannot feasibly mitigate identified risks to user rights, due to available technologies and costs of implementation, the supervisory authority must be consulted with mitigation details before processing. They may restrict processing beyond their stated response deadlines. The authority may advise within eight weeks, extending by up to six when justified (e.g. complexity) or suspending until they receive requested details. Extensions shall come within one month's notice.	Impact Assessment	Processing which might pose a high risk to the rights of users	Where a controller cannot feasibly mitigate identified risks to user rights, due to available technologies and costs of implementation, the supervisory authority must be consulted with mitigation details before processing. They may restrict processing beyond their stated response deadlines. The authority may advise within eight weeks, extending by up to six when justified (e.g. complexity) or suspending until they receive requested details. Extensions shall come within one month's notice.  Prior consultation; Recital 94 	This influences choices made by users, and is mostly <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> based. It is also a part of <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a> and <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This can be further aided by <a class="pattern" href="https://privacypatterns.org/patterns/Impactful-Information-and-Feedback">Impactful Information and Feedback</a> and <a class="pattern" href="https://privacypatterns.org/patterns/Preventing-Mistakes-or-Reducing-Their-Impact">Preventing Mistakes or Reducing Their Impact</a>. 	Special Obligations	Prior consultation	https://gdpr-info.eu/art-36-gdpr	36
34	User data is considered genetic where relating to characteristics derived from the analysis of a biological sample or equivalently informative element.	Special Category	Processing sensitive data	User data is considered genetic where relating to characteristics derived from the analysis of a biological sample or equivalently informative element.  Definitions; Recital 34 	This may include <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Definitions	https://gdpr-info.eu/art-4-gdpr	4
35	User health is a special category of personal data and includes anything relating to mental or physical health, for health services, and any derived information.	Special Category	Processing sensitive data	User health is a special category of personal data and includes anything relating to mental or physical health, for health services, and any derived information.  Definitions; Recital 35 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>.	Special Obligations	Definitions	https://gdpr-info.eu/art-4-gdpr	4
161	Consent into low-interventional studies must conform with relevant provisions in the European Regulation on Clinical Trials on Medicinal Products for Human Use. This includes the need for protecting rights over other interests and supplying robust and reliable data.	Special Category	Processing sensitive data	Consent into low-interventional studies must conform with relevant provisions in the European Regulation on Clinical Trials on Medicinal Products for Human Use. This includes the need for protecting rights over other interests and supplying robust and reliable data.  Safeguards and derogations relating to processing for [public interest]; Recital 161 	While this is directed to controllers, users may also consider this in their consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. This is also related to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Special Obligations	Safeguards and derogations relating to processing for [public interest]	https://gdpr-info.eu/art-89-gdpr	89
A10	Personal data on criminal offences may only be processed where authorized and appropriately safeguarded. Any comprehensive register of such data may only be kept by an official authority.	Special Category	Processing sensitive data	Personal data on criminal offences may only be processed where authorized and appropriately safeguarded. Any comprehensive register of such data may only be kept by an official authority.  Processing of personal data relating to criminal convictions and offences; Recital A10 	N/A	Special Obligations	Processing of personal data relating to criminal convictions and offences	https://gdpr-info.eu/art-10-gdpr	10
A87	Member states may further regulate the processing of generally applicable identification numbers to be appropriately safeguarded.	Special Category	Processing sensitive data	Member states may further regulate the processing of generally applicable identification numbers to be appropriately safeguarded.  Processing of the national identification number; Recital A87 	N/A	Special Obligations	Processing of the national identification number	https://gdpr-info.eu/art-87-gdpr	87
51	Special categories of data, including ethnicity or biometric information, need specific consent, or contextual allowances to be processed. Biometric data may include images which permit facial detection. Member states may provide additional rules for this.	Special Category	Processing sensitive data	Special categories of data, including ethnicity or biometric information, need specific consent, or contextual allowances to be processed. Biometric data may include images which permit facial detection. Member states may provide additional rules for this.  Processing of special categories of personal data; Recital 51 	This information determines the level of protection afforded to users, and may influence their consent. Thus all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>, <a class="strategy" href="https://privacypatterns.org/categories/abstract">abstract</a>, and <a class="strategy" href="https://privacypatterns.org/categories/separate">separate</a>.	Special Obligations	Processing of special categories of personal data	https://gdpr-info.eu/art-9-gdpr	9
16	Data protection does not prevent the protection of other rights and freedoms outside the scope of EU law, such as in foreign and national security.	Applicability	Other considerations	Data protection does not prevent the protection of other rights and freedoms outside the scope of EU law, such as in foreign and national security.  Material scope; Recital 16 	N/A	Considerations	Material scope	https://gdpr-info.eu/art-2-gdpr	2
25	The GDPR applies in extraterritorial areas with member state sovereignty.	Applicability	Other considerations	The GDPR applies in extraterritorial areas with member state sovereignty.  Territorial scope; Recital 25 	<a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may feature this.	Considerations	Territorial scope	https://gdpr-info.eu/art-3-gdpr	3
170	In order to ensure equivalent data protection in the Union, the GDPR makes use of subsidiarity and proportionality as specified in the Treaty on European Union. This is also limited by the competences conferred upon it by the member states.	Applicability	Other considerations	In order to ensure equivalent data protection in the Union, the GDPR makes use of subsidiarity and proportionality as specified in the Treaty on European Union. This is also limited by the competences conferred upon it by the member states.  No applicable Articles; Recital 170 	N/A	Considerations	No applicable Articles	https://gdpr-info.eu/recitals	N/A
20	The courts shall remain independent when facing Data Protection Authorities.	Authority	Other considerations	The courts shall remain independent when facing Data Protection Authorities.  Material scope; Recital 20 	N/A	Considerations	Material scope	https://gdpr-info.eu/art-2-gdpr	2
96	Legislative or regulatory measures need to coordinated with the relevant supervisory authority. There may be local requirements in relation to public interest, such as social protection and public health.	Authority, Public Interest	Other considerations	Legislative or regulatory measures need to coordinated with the relevant supervisory authority. There may be local requirements in relation to public interest, such as social protection and public health.  Prior consultation; Recital 96 	N/A	Considerations	Prior consultation	https://gdpr-info.eu/art-36-gdpr	36
122	The supervisory authority should be competently able to supervise and inform on processing activities, handling any user complaints with appropriate investigation.	Authority	Other considerations	The supervisory authority should be competently able to supervise and inform on processing activities, handling any user complaints with appropriate investigation.  Competence; Recital 122 	N/A	Considerations	Competence	https://gdpr-info.eu/art-55-gdpr	55
124	Where processing takes place in or affects persons within multiple member states, the controller's main establishment will determine the lead supervisory authority.	Authority, Main Establishment	Other considerations	Where processing takes place in or affects persons within multiple member states, the controller's main establishment will determine the lead supervisory authority.  Competence of the lead supervisory authority; Recital 124 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. 	Considerations	Competence of the lead supervisory authority	https://gdpr-info.eu/art-56-gdpr	56
134	Supervisory authorities should be able to coordinate with each other and respond to each other's requests within a specified time period.	Authority, Cooperation	Other considerations	Supervisory authorities should be able to coordinate with each other and respond to each other's requests within a specified time period.  Joint operations of supervisory authorities; Recital 134 	N/A	Considerations	Joint operations of supervisory authorities	https://gdpr-info.eu/art-62-gdpr	62
139	The European Data Protection Board is an independent advising legal entity staffed with supervisory authorities and the European Data Protection Supervisor or their representatives.	Board	Other considerations	The European Data Protection Board is an independent advising legal entity staffed with supervisory authorities and the European Data Protection Supervisor or their representatives.  The Board, its independence and its tasks; Recital 139 	N/A	Considerations	The Board, its independence and its tasks	https://gdpr-info.eu/chapter-7	68,69,70
140	The European Data Protection Supervisor provides the secretariat of the Chair of the Board.	Board	Other considerations	The European Data Protection Supervisor provides the secretariat of the Chair of the Board.  Reporting, procedure, the chair, its tasks, the secretariat, and their confidentiality; Recital 140 	N/A	Considerations	Reporting, procedure, the chair, its tasks, the secretariat, and their confidentiality	https://gdpr-info.eu/chapter-7	71,72,73,74,75,76
31	Personal data disclosed to public authorities should not hinder proportional and necessary official duties and public interest with its need for protection.	Cooperation	Other considerations	Personal data disclosed to public authorities should not hinder proportional and necessary official duties and public interest with its need for protection.  Definitions; Recital 31 	As this information may influence consent, all <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns, and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a>, should mention it. It also affects <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> patterns.	Considerations	Definitions	https://gdpr-info.eu/art-4-gdpr	4
119	Member states with multiple supervisory authorities must establish laws which ensure cooperation and consistency. They should appoint one such authority as the single point of contact.	Cooperation	Other considerations	Member states with multiple supervisory authorities must establish laws which ensure cooperation and consistency. They should appoint one such authority as the single point of contact.  Supervisory authority; Recital 119 	N/A	Considerations	Supervisory authority	https://gdpr-info.eu/art-51-gdpr	51
120	Member states shall finance supervisory authorities so that they may effectively perform their assigned tasks in a cooperative manner.	Cooperation	Other considerations	Member states shall finance supervisory authorities so that they may effectively perform their assigned tasks in a cooperative manner.  Independence; Recital 120 	N/A	Considerations	Independence	https://gdpr-info.eu/art-52-gdpr	52
131	Where a complaint is handled by a lead supervisory authority in another member state than it was lodged or detected, and does not substantially have an affect otherwise, an amicable settlement should be sought. If this is not successful, sanctions may be imposed.	Cooperation	Consequences of not upholding data the protection principles	Where a complaint is handled by a lead supervisory authority in another member state than it was lodged or detected, and does not substantially have an affect otherwise, an amicable settlement should be sought. If this is not successful, sanctions may be imposed.  Cooperation between the lead supervisory authority and the other supervisory authorities concerned; Recital 131 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Considerations	Cooperation between the lead supervisory authority and the other supervisory authorities concerned	https://gdpr-info.eu/art-60-gdpr	60
135	Supervisory authorities must adhere to a consistency mechanism, particularly on request, or in cases affecting multiple member states. The Commission may override such requirements.	Cooperation	Other considerations	Supervisory authorities must adhere to a consistency mechanism, particularly on request, or in cases affecting multiple member states. The Commission may override such requirements.  Consistency mechanism; Recital 135 	N/A	Considerations	Consistency mechanism	https://gdpr-info.eu/art-63-gdpr	63
136	As part of supervisory authority consistency, the Board may issue opinions and or legally binding decisions. This may occur independently or, on request by parties concerned, shall happen within a specified time. Decisions are subject to a two thirds majority requirement. Parties concerned may in particular seek resolution on which authority is competent for the main establishment. Decisions are published on the website of the Board. The relevant authority shall then inform the controller and users of this decision within one month.	Cooperation, Main Establishment	Other considerations	As part of supervisory authority consistency, the Board may issue opinions and or legally binding decisions. This may occur independently or, on request by parties concerned, shall happen within a specified time. Decisions are subject to a two thirds majority requirement. Parties concerned may in particular seek resolution on which authority is competent for the main establishment. Decisions are published on the website of the Board. The relevant authority shall then inform the controller and users of this decision within one month.  Consistency, opinions, and dispute resolution by the Board; Recital 136 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Considerations	Consistency, opinions, and dispute resolution by the Board	https://gdpr-info.eu/chapter-7	63,64,65
138	Applying the urgency procedure by a supervisory authority, where necessary, justifies legal measures which should be carried out in cooperation with any other authorities concerned, irrespective of the consistency mechanism. The effects of the urgency procedure may last up to three months. Urgency based opinions and decisions may be adopted within two weeks and by simple majority.	Cooperation	Other considerations	Applying the urgency procedure by a supervisory authority, where necessary, justifies legal measures which should be carried out in cooperation with any other authorities concerned, irrespective of the consistency mechanism. The effects of the urgency procedure may last up to three months. Urgency based opinions and decisions may be adopted within two weeks and by simple majority.  Urgency procedure; Recital 138 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	Considerations	Urgency procedure	https://gdpr-info.eu/art-66-gdpr	66
164	Supervisory authorities may obtain personal data held by a controller or processor, though member states may rule that in certain contexts professional secrecy be kept in place.	Cooperation, Secrecy	Other considerations	Supervisory authorities may obtain personal data held by a controller or processor, though member states may rule that in certain contexts professional secrecy be kept in place.  Obligations of secrecy; Recital 164 	While this is directed to controllers, users may also consider this in their consent. Thus <a class="pattern" href="https://privacypatterns.org/patterns/Lawful-Consent">Lawful Consent</a> patterns and <a class="pattern" href="https://privacypatterns.org/patterns/Outsourcing-[with-consent]">Outsourcing with Consent</a> may use it. This is also related to <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>.	Considerations	Obligations of secrecy	https://gdpr-info.eu/art-90-gdpr	90
165	Controllers serving as churches or religious associations or communities will not be prejudiced against by data protection principles. Though rules must be brought in line with the Regulation. An independent supervisory authority may oversee this.	Cooperation	Other considerations	Controllers serving as churches or religious associations or communities will not be prejudiced against by data protection principles. Though rules must be brought in line with the Regulation. An independent supervisory authority may oversee this.  Existing data protection rules of churches and religious associations; Recital 165 	N/A	Considerations	Existing data protection rules of churches and religious associations	https://gdpr-info.eu/art-91-gdpr	91
10	Data processing needs to be harmonized between member states, which may impose additional rules for data protection.	Harmonization	Other considerations	Data processing needs to be harmonized between member states, which may impose additional rules for data protection.  Subject-matter and objectives; Recital 10 	N/A	Considerations	Subject-matter and objectives	https://gdpr-info.eu/art-1-gdpr	1
36	The controller's main establishment in the Union is that which decides on purposes and means for processing of personal data.	Main Establishment	Other considerations	The controller's main establishment in the Union is that which decides on purposes and means for processing of personal data.  Definitions; Recital 36 	N/A	Considerations	Definitions	https://gdpr-info.eu/art-4-gdpr	4
37	A group of undertakings should consist of a dominant member which controls the others and is responsible for the group's data processing activities.	Responsibility, Joint	Other considerations	A group of undertakings should consist of a dominant member which controls the others and is responsible for the group's data processing activities.  Definitions; Recital 37 	This is related to <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Definitions	https://gdpr-info.eu/art-4-gdpr	4
126	Decisions by multiple supervisory authorities should be coordinated and directed towards the main establishment of the controller or processor in question.	Authority	Consequences of not upholding data the protection principles	Decisions by multiple supervisory authorities should be coordinated and directed towards the main establishment of the controller or processor in question.  Competence of the lead supervisory authority; Recital 126 	N/A	Considerations	Competence of the lead supervisory authority	https://gdpr-info.eu/art-56-gdpr	56
127	Supervisory authorities should handle local cases where the lead authority determines that processing only affects that single member state.	Authority	Consequences of not upholding data the protection principles	Supervisory authorities should handle local cases where the lead authority determines that processing only affects that single member state.  Competence of the lead supervisory authority; Recital 127 	N/A	Considerations	Competence of the lead supervisory authority	https://gdpr-info.eu/art-56-gdpr	56
130	The lead supervisory authority should work together with the authority who receives a user complaint, taking that authority's views on the matter into account.	Authority	Consequences of not upholding data the protection principles	The lead supervisory authority should work together with the authority who receives a user complaint, taking that authority's views on the matter into account.  Cooperation between the lead supervisory authority and the other supervisory authorities concerned; Recital 130 	N/A	Considerations	Cooperation between the lead supervisory authority and the other supervisory authorities concerned	https://gdpr-info.eu/art-60-gdpr	60
141	Users may file complaints with their respective supervisory authorities electronically, and be informed on progress and the outcome in a timely manner.	Authority Complaint	Consequences of not upholding data the protection principles	Users may file complaints with their respective supervisory authorities electronically, and be informed on progress and the outcome in a timely manner.  Right to lodge a complaint and effective judicial remedy against a supervisory authority; Recital 141 	This does not refer to <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> offered by Controllers but by authorities, though Controllers should <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> users of this. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This also relates to <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Right to lodge a complaint and effective judicial remedy against a supervisory authority	https://gdpr-info.eu/chapter-8	77,78
142	Users may mandate that a non-profit body focused on data protection handle complaints to a supervisory authority and, where mandated and possible in member state law, claim compensation. Such a body may not claim compensation when operating independently.	Authority Complaint	Consequences of not upholding data the protection principles	Users may mandate that a non-profit body focused on data protection handle complaints to a supervisory authority and, where mandated and possible in member state law, claim compensation. Such a body may not claim compensation when operating independently.  Representation of data subjects; Recital 142 	This does not refer to <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> offered by Controllers but by authorities, though Controllers should <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> users of this. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This also relates to <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Representation of data subjects	https://gdpr-info.eu/art-80-gdpr	80
143	Any person affected by a decision by the supervisory authority or Board may challenge it through the Court of Justice. Reasons may include incompetence, lack of procedure, misapplication, or power abuse. This may be met with response within two months.	Authority Complaint	Consequences of not upholding data the protection principles	Any person affected by a decision by the supervisory authority or Board may challenge it through the Court of Justice. Reasons may include incompetence, lack of procedure, misapplication, or power abuse. This may be met with response within two months.  Right to an effective judicial remedy against a supervisory authority; Recital 143 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Considerations	Right to an effective judicial remedy against a supervisory authority	https://gdpr-info.eu/art-78-gdpr	78
145	Users lodging complaints may choose between the courts of their residence or of a member state where the controller or processor has an establishment, unless it is a public authority of such a state.	Authority Complaint	Consequences of not upholding data the protection principles	Users lodging complaints may choose between the courts of their residence or of a member state where the controller or processor has an establishment, unless it is a public authority of such a state.  Right to an effective judicial remedy against a controller or processor and proceeding suspension; Recital 145 	This does not refer to <a class="strategy" href="https://privacypatterns.org/categories/control">control</a> offered by Controllers but by authorities, though Controllers should <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a> users of this. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>. This also relates to <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Right to an effective judicial remedy against a controller or processor and proceeding suspension	https://gdpr-info.eu/chapter-8	79,81
146	Controllers and or processors should each compensate successful plaintiffs any damages due, or as proportioned by a decision, unless they prove they were not responsible for these damages, where afterward recourse may still be sought. Processors are liable for any processor specific obligations as well as non-compliance with lawful controller instruction. Instances where one party is at fault may entitle the other to claim compensation.	Penalties	Consequences of not upholding data the protection principles	Controllers and or processors should each compensate successful plaintiffs any damages due, or as proportioned by a decision, unless they prove they were not responsible for these damages, where afterward recourse may still be sought. Processors are liable for any processor specific obligations as well as non-compliance with lawful controller instruction. Instances where one party is at fault may entitle the other to claim compensation.  Right to compensation and liability; Recital 146 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a>, and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Considerations	Right to compensation and liability	https://gdpr-info.eu/art-82-gdpr	82
148	Infringement of data protection principles shall receive proportionate penalties as imposed by the supervisory authority, respecting the principles of law and due process. Fines may be up to 10 million Euro or (in case of an undertaking) 2% of total worldwide annual turnover the year before. This applies to rules on processing (even without indentification); consultation and cooperation, data protection by design and by default, impact assessment, security, record keeping, and breach notification; as well as minors and certification. Fines may be twice as large when concerning basic principles, user rights, international transfers, state law, and non-compliance with supervisory authority orders.	Penalties	Consequences of not upholding data the protection principles	Infringement of data protection principles shall receive proportionate penalties as imposed by the supervisory authority, respecting the principles of law and due process. Fines may be up to 10 million Euro or (in case of an undertaking) 2% of total worldwide annual turnover the year before. This applies to rules on processing (even without indentification); consultation and cooperation, data protection by design and by default, impact assessment, security, record keeping, and breach notification; as well as minors and certification. Fines may be twice as large when concerning basic principles, user rights, international transfers, state law, and non-compliance with supervisory authority orders.  General conditions for imposing administrative fines; Recital 148 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/inform">inform</a>. Information from this force can be conveyed according to <a class="pattern" href="https://privacypatterns.org/patterns/Minimal-Information-Asymmetry">Minimal Information Asymmetry</a>.	Considerations	General conditions for imposing administrative fines	https://gdpr-info.eu/art-83-gdpr	83
149	Controllers who infringe on data protection principles may by national ruling receive criminal penalties, including the deprivation of related profits, but shall not receive overlapping penalties for the same linked processing operations. The amount shall follow the gravest infringement.	Penalties	Consequences of not upholding data the protection principles	Controllers who infringe on data protection principles may by national ruling receive criminal penalties, including the deprivation of related profits, but shall not receive overlapping penalties for the same linked processing operations. The amount shall follow the gravest infringement.  Penalties; Recital 149 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Penalties	https://gdpr-info.eu/art-84-gdpr	84
150	Controllers may be subject to administrative fines in addition to warnings, certification removal, and processing suspension when infringing on data protection principles. These shall consider proportionality, intent, and mitigation of the offense. This includes the nature and character of the infringement, the degree of responsibility, relevant prior infringements, cooperation, transparency, and adherence to codes of conduct or certification.	Penalties, Codes of Conduct, Cerification	Consequences of not upholding data the protection principles	Controllers may be subject to administrative fines in addition to warnings, certification removal, and processing suspension when infringing on data protection principles. These shall consider proportionality, intent, and mitigation of the offense. This includes the nature and character of the infringement, the degree of responsibility, relevant prior infringements, cooperation, transparency, and adherence to codes of conduct or certification.  Supervisory authority powers and general conditions for imposing administrative fines; Recital 150 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/hide">Hide</a>, <a class="strategy" href="https://privacypatterns.org/categories/separate">separate</a>, <a class="strategy" href="https://privacypatterns.org/categories/minimize">minimize</a>, <a class="strategy" href="https://privacypatterns.org/categories/abstract">abstract</a>, <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	Supervisory authority powers and general conditions for imposing administrative fines	https://gdpr-info.eu	58,83
151	Controllers who do not hold up data protection principles are subject to criminal penalties where established in Denmark and supervisory authority imposed misdemeanors where in Estonia, both shall be proportionate and dissuasive.	Penalties	Consequences of not upholding data the protection principles	Controllers who do not hold up data protection principles are subject to criminal penalties where established in Denmark and supervisory authority imposed misdemeanors where in Estonia, both shall be proportionate and dissuasive.  General conditions for imposing administrative fines; Recital 151 	This may feature in <a class="strategy" href="https://privacypatterns.org/categories/enforce">enforce</a> and <a class="strategy" href="https://privacypatterns.org/categories/demonstrate">demonstrate</a>.	Considerations	General conditions for imposing administrative fines	https://gdpr-info.eu/art-83-gdpr	83
32, 58, A7, A13, 42, 43	Demonstrating that user consent was given freely and remains valid under fair and accessible conditions	Consent	Having or seeking to acquire user consent	Demonstrating that user consent was given freely and remains valid under fair and accessible conditions
113	Legitimate interests for processing in a third country	Legitimate Interest	Personal data which needs to be processed in a third country	Legitimate interests for processing in a third country
44	Obligations from a contract that the user entered into	Legal Obligation, Contract	Legal obligations to process personal data	Obligations from a contract that the user entered into
50	Applying consent to new, compatible, and proportionate purposes	Public Interest	Having or seeking to acquire user consent	Applying consent to new, compatible, and proportionate purposes
4	Contention with other fundamental human rights	Reconciliation	Making use of other legitimate interests	Contention with other fundamental human rights
33	Processing under a purely scientific purpose	Public Interest	Personal data processed because of public interest	Processing under a purely scientific purpose
47	Processing for fraud detection or direct marketing	Legitimate Interest	Making use of other legitimate interests	Processing for fraud detection or direct marketing
49	Processing for network and information security	Legitimate Interest	Making use of other legitimate interests	Processing for network and information security
48	Processing as part of internal administration in an undertaking between several controllers	Legitimate Interest	Making use of other legitimate interests	Processing as part of internal administration in an undertaking between several controllers
155	Processing to adhere to laws or agreements in the context of employment	Legal Obligation	Legal obligations to process personal data	Processing to adhere to laws or agreements in the context of employment
55	Use by official authorities only	Public Interest	Legal obligations to process personal data	Use by official authorities only
21	Merely providing caching, transport or hosting functionality for other services that process personal data	Legitimate Interest	Making use of other legitimate interests	Merely providing caching, transport or hosting functionality for other services that process personal data
52, 53, 54, 56, A9	Grounds which may justify processing sensitive data	Special Obligations, Public Interest	Processing which might pose a high risk to the rights of users	Grounds which may justify processing sensitive data
77, 92, 93, 76, 84, 90, 91	Data Protection Impact Assessment	Impact Assessment	Processing which might pose a high risk to the rights of users	Data Protection Impact Assessment
7, 59, 69, 70, 68, 65, 66, 67	Giving users sufficient control over their personal data	All	Principles of data protection	Giving users sufficient control over their personal data
14, 26, 27, 2	Legal grounds to process personal data	Applicability, All	Forces for processing which can be used to personally identify any users	Legal grounds to process personal data
13, 18, 22, 23, 11, 39, 82, 83, 40, A5A, 57, 64, A5BCE, 28, 29, 30, A5DF, 78, 63	Principles of data protection	Principles	Forces for processing which can be used to personally identify any users	Principles of data protection
60, 61, 62, A14	Informing users of your system	Transparency, Transparency Derogation	Forces for processing which can be used to personally identify any users	Informing users of your system
16, 25, 170, 20, 96, 122, 124, 134, 139, 140, 31, 119, 120, 135, 136, 138, 164, 165, 10, 36, 37	Other considerations	Applicability, Authority, Board, Cooperation, Harmonization, Main Establishment, Responsibility	Forces for processing which can be used to personally identify any users	Other considerations
131, 126, 127, 130, 141, 142, 143, 145, 146, 148, 149, 150, 151	Consequences of not upholding data the protection principles	Cooperation, Authority, Authority Complaint, Penalties	Principles of data protection	Consequences of not upholding data the protection principles
